period,medication_id,medication_name,category,opening_stock,quantity_sold,quantity_restocked,closing_stock,reorder_point,unit_cost
2020-09,MED003,Ibuprofène 400mg,Anti-inflammatoire,321,561,240,0,40,3.5
2020-10,MED003,Ibuprofène 400mg,Anti-inflammatoire,423,663,240,0,40,3.5
2020-11,MED003,Ibuprofène 400mg,Anti-inflammatoire,404,644,240,0,40,3.5
2020-12,MED003,Ibuprofène 400mg,Anti-inflammatoire,475,715,240,0,40,3.5
2021-01,MED003,Ibuprofène 400mg,Anti-inflammatoire,392,632,240,0,40,3.5
2021-02,MED003,Ibuprofène 400mg,Anti-inflammatoire,305,545,240,0,40,3.5
2021-03,MED003,Ibuprofène 400mg,Anti-inflammatoire,334,574,240,0,40,3.5
2021-04,MED003,Ibuprofène 400mg,Anti-inflammatoire,335,575,240,0,40,3.5
2021-05,MED003,Ibuprofène 400mg,Anti-inflammatoire,272,512,240,0,40,3.5
2021-06,MED003,Ibuprofène 400mg,Anti-inflammatoire,234,474,240,0,40,3.5
2021-07,MED003,Ibuprofène 400mg,Anti-inflammatoire,271,511,240,0,40,3.5
2021-08,MED003,Ibuprofène 400mg,Anti-inflammatoire,321,561,240,0,40,3.5
2021-09,MED003,Ibuprofène 400mg,Anti-inflammatoire,345,585,240,0,40,3.5
2021-10,MED003,Ibuprofène 400mg,Anti-inflammatoire,391,631,240,0,40,3.5
2021-11,MED003,Ibuprofène 400mg,Anti-inflammatoire,446,686,240,0,40,3.5
2021-12,MED003,Ibuprofène 400mg,Anti-inflammatoire,509,749,240,0,40,3.5
2022-01,MED003,Ibuprofène 400mg,Anti-inflammatoire,416,656,240,0,40,3.5
2022-02,MED003,Ibuprofène 400mg,Anti-inflammatoire,346,586,240,0,40,3.5
2022-03,MED003,Ibuprofène 400mg,Anti-inflammatoire,344,584,240,0,40,3.5
2022-04,MED003,Ibuprofène 400mg,Anti-inflammatoire,323,563,240,0,40,3.5
2022-05,MED003,Ibuprofène 400mg,Anti-inflammatoire,293,533,240,0,40,3.5
2022-06,MED003,Ibuprofène 400mg,Anti-inflammatoire,289,529,240,0,40,3.5
2022-07,MED003,Ibuprofène 400mg,Anti-inflammatoire,282,522,240,0,40,3.5
2022-08,MED003,Ibuprofène 400mg,Anti-inflammatoire,343,583,240,0,40,3.5
2022-09,MED003,Ibuprofène 400mg,Anti-inflammatoire,381,621,240,0,40,3.5
2022-10,MED003,Ibuprofène 400mg,Anti-inflammatoire,453,693,240,0,40,3.5
2022-11,MED003,Ibuprofène 400mg,Anti-inflammatoire,452,692,240,0,40,3.5
2022-12,MED003,Ibuprofène 400mg,Anti-inflammatoire,543,783,240,0,40,3.5
2023-01,MED003,Ibuprofène 400mg,Anti-inflammatoire,465,705,240,0,40,3.5
2023-02,MED003,Ibuprofène 400mg,Anti-inflammatoire,317,557,240,0,40,3.5
2023-03,MED003,Ibuprofène 400mg,Anti-inflammatoire,316,556,240,0,40,3.5
2023-04,MED003,Ibuprofène 400mg,Anti-inflammatoire,322,562,240,0,40,3.5
2023-05,MED003,Ibuprofène 400mg,Anti-inflammatoire,298,538,240,0,40,3.5
2023-06,MED003,Ibuprofène 400mg,Anti-inflammatoire,252,492,240,0,40,3.5
2023-07,MED003,Ibuprofène 400mg,Anti-inflammatoire,298,538,240,0,40,3.5
2023-08,MED003,Ibuprofène 400mg,Anti-inflammatoire,370,610,240,0,40,3.5
2023-09,MED003,Ibuprofène 400mg,Anti-inflammatoire,418,658,240,0,40,3.5
2023-10,MED003,Ibuprofène 400mg,Anti-inflammatoire,500,740,240,0,40,3.5
2023-11,MED003,Ibuprofène 400mg,Anti-inflammatoire,453,693,240,0,40,3.5
2023-12,MED003,Ibuprofène 400mg,Anti-inflammatoire,551,791,240,0,40,3.5
2024-01,MED003,Ibuprofène 400mg,Anti-inflammatoire,488,728,240,0,40,3.5
2024-02,MED003,Ibuprofène 400mg,Anti-inflammatoire,378,618,240,0,40,3.5
2024-03,MED003,Ibuprofène 400mg,Anti-inflammatoire,360,600,240,0,40,3.5
2024-04,MED003,Ibuprofène 400mg,Anti-inflammatoire,355,595,240,0,40,3.5
2024-05,MED003,Ibuprofène 400mg,Anti-inflammatoire,325,565,240,0,40,3.5
2024-06,MED003,Ibuprofène 400mg,Anti-inflammatoire,274,514,240,0,40,3.5
2024-07,MED003,Ibuprofène 400mg,Anti-inflammatoire,326,566,240,0,40,3.5
2024-08,MED003,Ibuprofène 400mg,Anti-inflammatoire,362,602,240,0,40,3.5
2024-09,MED003,Ibuprofène 400mg,Anti-inflammatoire,395,635,240,0,40,3.5
2024-10,MED003,Ibuprofène 400mg,Anti-inflammatoire,464,704,240,0,40,3.5
2024-11,MED003,Ibuprofène 400mg,Anti-inflammatoire,479,719,240,0,40,3.5
2024-12,MED003,Ibuprofène 400mg,Anti-inflammatoire,582,822,240,0,40,3.5
2025-01,MED003,Ibuprofène 400mg,Anti-inflammatoire,500,740,240,0,40,3.5
2025-02,MED003,Ibuprofène 400mg,Anti-inflammatoire,424,664,240,0,40,3.5
2025-03,MED003,Ibuprofène 400mg,Anti-inflammatoire,372,612,240,0,40,3.5
2020-01,MED004,Oméprazole 20mg,Gastrique,307,307,0,0,25,5.0
2020-02,MED004,Oméprazole 20mg,Gastrique,138,288,150,0,25,5.0
2020-03,MED004,Oméprazole 20mg,Gastrique,140,290,150,0,25,5.0
2020-04,MED004,Oméprazole 20mg,Gastrique,162,312,150,0,25,5.0
2020-05,MED004,Oméprazole 20mg,Gastrique,183,333,150,0,25,5.0
2020-06,MED004,Oméprazole 20mg,Gastrique,155,305,150,0,25,5.0
2020-07,MED004,Oméprazole 20mg,Gastrique,151,301,150,0,25,5.0
2020-08,MED004,Oméprazole 20mg,Gastrique,122,272,150,0,25,5.0
2020-09,MED004,Oméprazole 20mg,Gastrique,150,300,150,0,25,5.0
2020-10,MED004,Oméprazole 20mg,Gastrique,133,283,150,0,25,5.0
2020-11,MED004,Oméprazole 20mg,Gastrique,130,280,150,0,25,5.0
2020-12,MED004,Oméprazole 20mg,Gastrique,143,293,150,0,25,5.0
2021-01,MED004,Oméprazole 20mg,Gastrique,148,298,150,0,25,5.0
2021-02,MED004,Oméprazole 20mg,Gastrique,113,263,150,0,25,5.0
2021-03,MED004,Oméprazole 20mg,Gastrique,176,326,150,0,25,5.0
2021-04,MED004,Oméprazole 20mg,Gastrique,192,342,150,0,25,5.0
2021-05,MED004,Oméprazole 20mg,Gastrique,207,357,150,0,25,5.0
2021-06,MED004,Oméprazole 20mg,Gastrique,183,333,150,0,25,5.0
2021-07,MED004,Oméprazole 20mg,Gastrique,141,291,150,0,25,5.0
2021-08,MED004,Oméprazole 20mg,Gastrique,167,317,150,0,25,5.0
2021-09,MED004,Oméprazole 20mg,Gastrique,141,291,150,0,25,5.0
2021-10,MED004,Oméprazole 20mg,Gastrique,150,300,150,0,25,5.0
2021-11,MED004,Oméprazole 20mg,Gastrique,154,304,150,0,25,5.0
2021-12,MED004,Oméprazole 20mg,Gastrique,151,301,150,0,25,5.0
2022-01,MED004,Oméprazole 20mg,Gastrique,159,309,150,0,25,5.0
2022-02,MED004,Oméprazole 20mg,Gastrique,130,280,150,0,25,5.0
2022-03,MED004,Oméprazole 20mg,Gastrique,161,311,150,0,25,5.0
2022-04,MED004,Oméprazole 20mg,Gastrique,184,334,150,0,25,5.0
2022-05,MED004,Oméprazole 20mg,Gastrique,253,403,150,0,25,5.0
2022-06,MED004,Oméprazole 20mg,Gastrique,200,350,150,0,25,5.0
2022-07,MED004,Oméprazole 20mg,Gastrique,167,317,150,0,25,5.0
2022-08,MED004,Oméprazole 20mg,Gastrique,161,311,150,0,25,5.0
2022-09,MED004,Oméprazole 20mg,Gastrique,159,309,150,0,25,5.0
2022-10,MED004,Oméprazole 20mg,Gastrique,166,316,150,0,25,5.0
2022-11,MED004,Oméprazole 20mg,Gastrique,172,322,150,0,25,5.0
2022-12,MED004,Oméprazole 20mg,Gastrique,158,308,150,0,25,5.0
2023-01,MED004,Oméprazole 20mg,Gastrique,147,297,150,0,25,5.0
2023-02,MED004,Oméprazole 20mg,Gastrique,139,289,150,0,25,5.0
2023-03,MED004,Oméprazole 20mg,Gastrique,174,324,150,0,25,5.0
2023-04,MED004,Oméprazole 20mg,Gastrique,179,329,150,0,25,5.0
2023-05,MED004,Oméprazole 20mg,Gastrique,218,368,150,0,25,5.0
2023-06,MED004,Oméprazole 20mg,Gastrique,180,330,150,0,25,5.0
2023-07,MED004,Oméprazole 20mg,Gastrique,166,316,150,0,25,5.0
2023-08,MED004,Oméprazole 20mg,Gastrique,164,314,150,0,25,5.0
2023-09,MED004,Oméprazole 20mg,Gastrique,165,315,150,0,25,5.0
2023-10,MED004,Oméprazole 20mg,Gastrique,165,315,150,0,25,5.0
2023-11,MED004,Oméprazole 20mg,Gastrique,162,312,150,0,25,5.0
2023-12,MED004,Oméprazole 20mg,Gastrique,145,295,150,0,25,5.0
2024-01,MED004,Oméprazole 20mg,Gastrique,184,334,150,0,25,5.0
2024-02,MED004,Oméprazole 20mg,Gastrique,145,295,150,0,25,5.0
2024-03,MED004,Oméprazole 20mg,Gastrique,185,335,150,0,25,5.0
2024-04,MED004,Oméprazole 20mg,Gastrique,214,364,150,0,25,5.0
2024-05,MED004,Oméprazole 20mg,Gastrique,255,405,150,0,25,5.0
2024-06,MED004,Oméprazole 20mg,Gastrique,206,356,150,0,25,5.0
2024-07,MED004,Oméprazole 20mg,Gastrique,173,323,150,0,25,5.0
2024-08,MED004,Oméprazole 20mg,Gastrique,198,348,150,0,25,5.0
2024-09,MED004,Oméprazole 20mg,Gastrique,172,322,150,0,25,5.0
2024-10,MED004,Oméprazole 20mg,Gastrique,198,348,150,0,25,5.0
2024-11,MED004,Oméprazole 20mg,Gastrique,186,336,150,0,25,5.0
2024-12,MED004,Oméprazole 20mg,Gastrique,190,340,150,0,25,5.0
2025-01,MED004,Oméprazole 20mg,Gastrique,200,350,150,0,25,5.0
2025-02,MED004,Oméprazole 20mg,Gastrique,158,308,150,0,25,5.0
2025-03,MED004,Oméprazole 20mg,Gastrique,178,328,150,0,25,5.0
2020-01,MED005,Metformine 850mg,Diabète,231,231,0,0,35,4.0
2020-02,MED005,Metformine 850mg,Diabète,0,210,210,0,35,4.0
2020-03,MED005,Metformine 850mg,Diabète,22,232,210,0,35,4.0
2020-04,MED005,Metformine 850mg,Diabète,13,223,210,0,35,4.0
2020-05,MED005,Metformine 850mg,Diabète,16,226,210,0,35,4.0
2020-06,MED005,Metformine 850mg,Diabète,15,225,210,0,35,4.0
2020-07,MED005,Metformine 850mg,Diabète,15,225,210,0,35,4.0
2020-08,MED005,Metformine 850mg,Diabète,15,225,210,0,35,4.0
2020-09,MED005,Metformine 850mg,Diabète,22,232,210,0,35,4.0
2020-10,MED005,Metformine 850mg,Diabète,32,242,210,0,35,4.0
2020-11,MED005,Metformine 850mg,Diabète,19,229,210,0,35,4.0
2020-12,MED005,Metformine 850mg,Diabète,31,241,210,0,35,4.0
2021-01,MED005,Metformine 850mg,Diabète,28,238,210,0,35,4.0
2021-02,MED005,Metformine 850mg,Diabète,10,220,210,0,35,4.0
2021-03,MED005,Metformine 850mg,Diabète,36,246,210,0,35,4.0
2021-04,MED005,Metformine 850mg,Diabète,33,243,210,0,35,4.0
2021-05,MED005,Metformine 850mg,Diabète,26,236,210,0,35,4.0
2021-06,MED005,Metformine 850mg,Diabète,22,232,210,0,35,4.0
2021-07,MED005,Metformine 850mg,Diabète,38,248,210,0,35,4.0
2021-08,MED005,Metformine 850mg,Diabète,32,242,210,0,35,4.0
2021-09,MED005,Metformine 850mg,Diabète,25,235,210,0,35,4.0
2021-10,MED005,Metformine 850mg,Diabète,29,239,210,0,35,4.0
2021-11,MED005,Metformine 850mg,Diabète,34,244,210,0,35,4.0
2021-12,MED005,Metformine 850mg,Diabète,43,253,210,0,35,4.0
2022-01,MED005,Metformine 850mg,Diabète,28,238,210,0,35,4.0
2022-02,MED005,Metformine 850mg,Diabète,7,217,210,0,35,4.0
2022-03,MED005,Metformine 850mg,Diabète,38,248,210,0,35,4.0
2022-04,MED005,Metformine 850mg,Diabète,24,234,210,0,35,4.0
2022-05,MED005,Metformine 850mg,Diabète,39,249,210,0,35,4.0
2022-06,MED005,Metformine 850mg,Diabète,34,244,210,0,35,4.0
2022-07,MED005,Metformine 850mg,Diabète,28,238,210,0,35,4.0
2022-08,MED005,Metformine 850mg,Diabète,36,246,210,0,35,4.0
2022-09,MED005,Metformine 850mg,Diabète,34,244,210,0,35,4.0
2022-10,MED005,Metformine 850mg,Diabète,40,250,210,0,35,4.0
2022-11,MED005,Metformine 850mg,Diabète,44,254,210,0,35,4.0
2022-12,MED005,Metformine 850mg,Diabète,39,249,210,0,35,4.0
2023-01,MED005,Metformine 850mg,Diabète,42,252,210,0,35,4.0
2023-02,MED005,Metformine 850mg,Diabète,15,225,210,0,35,4.0
2023-03,MED005,Metformine 850mg,Diabète,41,251,210,0,35,4.0
2023-04,MED005,Metformine 850mg,Diabète,26,236,210,0,35,4.0
2023-05,MED005,Metformine 850mg,Diabète,41,251,210,0,35,4.0
2023-06,MED005,Metformine 850mg,Diabète,37,247,210,0,35,4.0
2023-07,MED005,Metformine 850mg,Diabète,45,255,210,0,35,4.0
2023-08,MED005,Metformine 850mg,Diabète,45,255,210,0,35,4.0
2023-09,MED005,Metformine 850mg,Diabète,38,248,210,0,35,4.0
2023-10,MED005,Metformine 850mg,Diabète,43,253,210,0,35,4.0
2023-11,MED005,Metformine 850mg,Diabète,26,236,210,0,35,4.0
2023-12,MED005,Metformine 850mg,Diabète,50,260,210,0,35,4.0
2024-01,MED005,Metformine 850mg,Diabète,47,257,210,0,35,4.0
2024-02,MED005,Metformine 850mg,Diabète,35,245,210,0,35,4.0
2024-03,MED005,Metformine 850mg,Diabète,37,247,210,0,35,4.0
2024-04,MED005,Metformine 850mg,Diabète,49,259,210,0,35,4.0
2024-05,MED005,Metformine 850mg,Diabète,54,264,210,0,35,4.0
2024-06,MED005,Metformine 850mg,Diabète,47,257,210,0,35,4.0
2024-07,MED005,Metformine 850mg,Diabète,58,268,210,0,35,4.0
2024-08,MED005,Metformine 850mg,Diabète,47,257,210,0,35,4.0
2024-09,MED005,Metformine 850mg,Diabète,43,253,210,0,35,4.0
2024-10,MED005,Metformine 850mg,Diabète,58,268,210,0,35,4.0
2024-11,MED005,Metformine 850mg,Diabète,57,267,210,0,35,4.0
2024-12,MED005,Metformine 850mg,Diabète,51,261,210,0,35,4.0
2025-01,MED005,Metformine 850mg,Diabète,54,264,210,0,35,4.0
2025-02,MED005,Metformine 850mg,Diabète,29,239,210,0,35,4.0
2025-03,MED005,Metformine 850mg,Diabète,62,272,210,0,35,4.0
2020-01,MED006,Amlodipine 5mg,Cardiovasculaire,187,187,0,0,20,6.5
2020-02,MED006,Amlodipine 5mg,Cardiovasculaire,32,152,120,0,20,6.5
2020-03,MED006,Amlodipine 5mg,Cardiovasculaire,52,172,120,0,20,6.5
2020-04,MED006,Amlodipine 5mg,Cardiovasculaire,52,172,120,0,20,6.5
2020-05,MED006,Amlodipine 5mg,Cardiovasculaire,42,162,120,0,20,6.5
2020-06,MED006,Amlodipine 5mg,Cardiovasculaire,53,173,120,0,20,6.5
2020-07,MED006,Amlodipine 5mg,Cardiovasculaire,42,162,120,0,20,6.5
2020-08,MED006,Amlodipine 5mg,Cardiovasculaire,45,165,120,0,20,6.5
2020-09,MED006,Amlodipine 5mg,Cardiovasculaire,49,169,120,0,20,6.5
2020-10,MED006,Amlodipine 5mg,Cardiovasculaire,46,166,120,0,20,6.5
2020-11,MED006,Amlodipine 5mg,Cardiovasculaire,64,184,120,0,20,6.5
2020-12,MED006,Amlodipine 5mg,Cardiovasculaire,74,194,120,0,20,6.5
2021-01,MED006,Amlodipine 5mg,Cardiovasculaire,63,183,120,0,20,6.5
2021-02,MED006,Amlodipine 5mg,Cardiovasculaire,36,156,120,0,20,6.5
2021-03,MED006,Amlodipine 5mg,Cardiovasculaire,61,181,120,0,20,6.5
2021-04,MED006,Amlodipine 5mg,Cardiovasculaire,51,171,120,0,20,6.5
2021-05,MED006,Amlodipine 5mg,Cardiovasculaire,54,174,120,0,20,6.5
2021-06,MED006,Amlodipine 5mg,Cardiovasculaire,51,171,120,0,20,6.5
2021-07,MED006,Amlodipine 5mg,Cardiovasculaire,57,177,120,0,20,6.5
2021-08,MED006,Amlodipine 5mg,Cardiovasculaire,62,182,120,0,20,6.5
2021-09,MED006,Amlodipine 5mg,Cardiovasculaire,65,185,120,0,20,6.5
2021-10,MED006,Amlodipine 5mg,Cardiovasculaire,50,170,120,0,20,6.5
